follower_tier,anxiety_level,avg_cpe,avg_ad_value_1000,roi_view_per_yuan,n
<=50k,0,4.055271315714285,2248.1630083571426,78.78075761775492,14
<=50k,1,3.7350272513636367,3129.7221381363634,11.208046852015299,22
<=50k,3,3.145142611111111,984.9489077777778,3.5433666666666666,9
<=50k,5,1.552728543333333,441.1289218333333,4.445867134124415,6
50k-100k,0,4.732941833076923,2270.0995793076922,1.973312955465587,13
50k-100k,1,4.349000187241379,1597.756130413793,5.592689776946807,29
50k-100k,3,6.787917078292683,1966.3923040243901,10.402968624038975,41
50k-100k,5,7.889338537272727,6642.305641636363,2.606717361445139,11
200k+,0,19.05165114,666.666667,1.5,1
200k+,1,19.05165114,7103.327553499999,0.14330555555555555,2
200k+,3,19.05165114,310.344828,3.2222222222222223,1
