koc_id,best_mix_for_view,best_mix_for_income,best_view,best_income
106946230,0.0/0.0/1.0/0.0,1.0/0.0/0.0/0.0,76763.25,6999.0
107199492,0.0/0.0/0.0/1.0,0.0/0.0/0.0/1.0,30248.5,2250.0
113397425,0.0/1.0/0.0/0.0,0.0/0.0/1.0/0.0,57363.666666666664,3160.0
1141452114,1.0/0.0/0.0/0.0,0.0/0.0/1.0/0.0,32471.0,6666.666666666666
117444355,0.0/1.0/0.0/0.0,0.0/1.0/0.0/0.0,142844.5,13500.0
119383142,0.0/0.0/0.0/1.0,0.0/1.0/0.0/0.0,135461.83333333334,772.5
152386536,0.0/1.0/0.0/0.0,0.0/1.0/0.0/0.0,11011.666666666666,5333.333333333333
186169177XHS,0.0/0.0/0.0/1.0,0.0/1.0/0.0/0.0,67333.33333333333,6804.0
262812264,0.0/0.0/0.0/1.0,0.0/0.0/1.0/0.0,1090000.0,1875.0
2653955016,0.0/1.0/0.0/0.0,0.0/0.3/0.7/0.0,9874.0,1000.0000000000002
275433795,0.0/0.0/1.0/0.0,0.3/0.0/0.7/0.0,72666.33333333333,15000.000000000004
277338406,1.0/0.0/0.0/0.0,0.0/0.0/0.0/1.0,113000.0,17500.0
3480333079,0.0/0.0/1.0/0.0,0.0/0.0/1.0/0.0,67099.2,9500.0
420496627,1.0/0.0/0.0/0.0,0.0/0.0/1.0/0.0,1540585.0,5250.0
465319795,0.0/1.0/0.0/0.0,0.0/1.0/0.0/0.0,236000.0,2266.6666666666665
638217797,1.0/0.0/0.0/0.0,0.0/0.0/1.0/0.0,263604.6,1200.0
800353102,0.0/1.0/0.0/0.0,0.0/0.0/0.0/1.0,113016.22222222222,12000.0
8218938202,1.0/0.0/0.0/0.0,0.0/1.0/0.0/0.0,39501.0,12000.0
9092323647,0.0/1.0/0.0/0.0,0.0/0.3/0.7/0.0,13550.625,500.0000000000001
945924693,0.0/0.0/1.0/0.0,0.0/0.0/1.0/0.0,79000.0,245.0
982387524,0.0/1.0/0.0/0.0,0.0/0.0/0.0/1.0,75500.0,18000.0
983975704,0.0/0.0/0.0/1.0,0.0/0.0/0.0/1.0,206000.0,15000.0
990226zr,0.0/0.0/1.0/0.0,1.0/0.0/0.0/0.0,71941.5,5000.0
AP_nora,0.0/1.0/0.0/0.0,0.0/0.0/1.0/0.0,14580.0,3000.0
Evenbetter001,0.0/0.0/0.0/1.0,0.0/0.0/0.0/1.0,102561.25,0.0
FitMoMo,0.0/0.0/1.0/0.0,0.3/0.0/0.7/0.0,34500.0,9000.000000000002
GDDXCCB778,0.0/1.0/0.0/0.0,0.0/0.0/1.0/0.0,68650.16666666667,107.75
GraceKwan73,0.0/0.0/1.0/0.0,0.0/0.0/0.0/1.0,30918.714285714286,5333.333333333333
LXSJ_33,0.0/1.0/0.0/0.0,0.0/0.0/1.0/0.0,5362.75,10000.0
Light_yxtkb,0.0/1.0/0.0/0.0,0.3/0.1/0.6/0.0,4697.571428571428,3000.0000000000005
YIX39868390,0.0/1.0/0.0/0.0,0.0/0.0/0.0/1.0,79512.5,0.0
butter3o3,0.0/0.0/1.0/0.0,1.0/0.0/0.0/0.0,40311.5,6000.0
jgai001,0.0/0.0/1.0/0.0,1.0/0.0/0.0/0.0,871260.25,20000.0
liudianyi,0.0/0.0/0.0/1.0,0.0/0.0/0.0/1.0,23000.0,0.0
lofisuchat,0.0/0.0/1.0/0.0,0.0/1.0/0.0/0.0,47000.0,7500.0
wsxmm1217,0.0/0.0/0.0/1.0,0.0/0.0/1.0/0.0,90778.33333333333,1360.0
xxxxlxxxx,1.0/0.0/0.0/0.0,0.0/0.0/0.0/1.0,21000.0,20000.0
y02287777,1.0/0.0/0.0/0.0,0.0/1.0/0.0/0.0,3072.0,4000.0
zoeygou0317,0.0/0.0/0.0/1.0,0.0/0.0/0.0/1.0,66053.42857142857,0.0
zz0412,0.0/0.0/0.0/1.0,0.3/0.7/0.0/0.0,56000.0,7500.000000000002
