term,coef,se_hc1,t,p,ci_low_95,ci_high_95,model,spec,term_std
Intercept,0.585243252331904,0.07661452180585542,7.638803173828276,2.192501727338684e-14,0.43508154889966877,0.7354049557641392,Model1_ratio_collect,contemporaneous,Intercept
anxiety_score,-0.14705027874030177,0.07305707961392371,-2.012813535900988,0.0441342493756197,-0.29023952359926763,-0.003861033881335907,Model1_ratio_collect,contemporaneous,anxiety_linear
anxiety_sq,0.02208871048742654,0.012521621356437949,1.7640455543778049,0.07772430987932061,-0.002453216399239417,0.046630637374092496,Model1_ratio_collect,contemporaneous,anxiety_quadratic
is_commercial,0.08659182941306427,0.059873595068065215,1.4462440298536503,0.1481087681576446,-0.030758260545278554,0.2039419193714071,Model1_ratio_collect,contemporaneous,is_commercial
Intercept,0.5812699585630037,0.07444116480537973,7.8084479210217355,5.789650847310395e-15,0.4353679565772488,0.7271719605487585,Model1_ratio_collect,lagged,Intercept
lag_anxiety_score,-0.13531989153013457,0.07161836665472118,-1.889457940063397,0.05883049350423099,-0.27568931080497244,0.005049527744703297,Model1_ratio_collect,lagged,anxiety_linear
lag_anxiety_sq,0.0197220817766308,0.012537600332276334,1.573034811602584,0.11571075777795288,-0.00485116332718823,0.044295326880449834,Model1_ratio_collect,lagged,anxiety_quadratic
is_commercial,0.08105396520176462,0.05925048060522957,1.3679883162772293,0.17131573332024919,-0.03507484285117432,0.19718277325470357,Model1_ratio_collect,lagged,is_commercial
Intercept,4.697495230928141,0.07775696075907712,60.41253651210601,0.0,4.545094388293055,4.849896073563226,Model2_ln_ces_per1000,contemporaneous,Intercept
C(high_or_low)[T.low],0.02838159820841646,0.06854848783434252,0.41403682422586413,0.6788471386177157,-0.10597096914157692,0.16273416555840983,Model2_ln_ces_per1000,contemporaneous,C(high_or_low)[T.low]
anxiety_score,-0.015460326659659338,0.06921868668054411,-0.2233548106887862,0.8232593717615262,-0.15112645961068816,0.12020580629136947,Model2_ln_ces_per1000,contemporaneous,anxiety_linear
anxiety_sq,0.005309232779718707,0.013260329677938231,0.40038467433821806,0.6888732104380204,-0.02068053581216784,0.03129900137160525,Model2_ln_ces_per1000,contemporaneous,anxiety_quadratic
is_commercial,0.12055174748680031,0.08156319506129638,1.4780164925638735,0.13940336387752802,-0.03930917729735578,0.2804126722709564,Model2_ln_ces_per1000,contemporaneous,is_commercial
Intercept,4.740007940558362,0.07222474246303584,65.62858902521207,0.0,4.598450046538131,4.881565834578593,Model2_ln_ces_per1000,lagged,Intercept
C(high_or_low)[T.low],0.009535249610184704,0.0668785339716489,0.14257563741195164,0.8866253394099731,-0.12154426831308565,0.14061476753345506,Model2_ln_ces_per1000,lagged,C(high_or_low)[T.low]
lag_anxiety_score,-0.0008743009078427538,0.07712560746917038,-0.011336065109013766,0.990955322386128,-0.1520377138331901,0.15028911201750456,Model2_ln_ces_per1000,lagged,anxiety_linear
lag_anxiety_sq,-0.0038004670789162157,0.014334855458332924,-0.26512071153860045,0.790916472567077,-0.031896267500836156,0.024295333343003725,Model2_ln_ces_per1000,lagged,anxiety_quadratic
is_commercial,0.11550410829785693,0.08081001436089318,1.4293291396041807,0.1529096544839122,-0.04288060943965824,0.2738888260353721,Model2_ln_ces_per1000,lagged,is_commercial
Intercept,8.459289448650166,0.242067386373352,34.94601059393851,1.4888124125538385e-267,7.984846089526654,8.933732807773678,Model3_ln_note_quote,contemporaneous,Intercept
anxiety_score,0.007512844837043536,0.029606082024920845,0.25376018450261734,0.7996808349065622,-0.050514009655139996,0.06553969932922707,Model3_ln_note_quote,contemporaneous,anxiety_linear
ln_view_plus1,0.039039248317341305,0.027413945606350396,1.4240652869865593,0.15442757386518854,-0.014691097745245525,0.09276959437992813,Model3_ln_note_quote,contemporaneous,ln_view_plus1
is_commercial,-0.08835238517783761,0.10863887809163773,-0.8132667303809202,0.4160651474724285,-0.3012806735582851,0.12457590320260986,Model3_ln_note_quote,contemporaneous,is_commercial
Intercept,8.41361189712067,0.24836056389185332,33.87660168457466,1.473148733507124e-251,7.926834136712579,8.900389657528763,Model3_ln_note_quote,lagged,Intercept
lag_anxiety_score,0.02489291050806272,0.029208580821452654,0.8522464908592811,0.39407729799972624,-0.03235485594151183,0.08214067695763727,Model3_ln_note_quote,lagged,anxiety_linear
ln_view_plus1,0.039858109069593806,0.026652263987768102,1.4954868032181599,0.13478744149078228,-0.012379368452885557,0.09209558659207318,Model3_ln_note_quote,lagged,ln_view_plus1
is_commercial,-0.08260841017006615,0.10924054420545133,-0.7562065052944309,0.44952539307130046,-0.29671594246430644,0.13149912212417417,Model3_ln_note_quote,lagged,is_commercial
